,symbol,position,order,close
2024-05-10 07:43:00+02:00,ETH-USD,0.0,0.0,3027.20703125
2024-05-10 07:44:00+02:00,ETH-USD,0.0,0.0,3026.955810546875
2024-05-10 07:45:00+02:00,ETH-USD,0.0,0.0,3026.972900390625
2024-05-10 07:46:00+02:00,ETH-USD,0.0,0.0,3028.94482421875
2024-05-10 07:47:00+02:00,ETH-USD,0.0,0.0,3029.0078125
2024-05-10 07:48:00+02:00,ETH-USD,0.0,0.0,3029.874267578125
2024-05-10 07:49:00+02:00,ETH-USD,0.0,0.0,3030.00634765625
2024-05-10 07:50:00+02:00,ETH-USD,0.0,0.0,3030.4013671875
2024-05-10 07:51:00+02:00,ETH-USD,0.0,0.0,3030.265380859375
2024-05-10 07:52:00+02:00,ETH-USD,0.0,0.0,3028.45751953125
2024-05-10 07:53:00+02:00,ETH-USD,0.0,0.0,3029.866455078125
2024-05-10 07:54:00+02:00,ETH-USD,0.0,0.0,3030.86279296875
2024-05-10 07:55:00+02:00,ETH-USD,0.0,0.0,3030.6708984375
2024-05-10 07:56:00+02:00,ETH-USD,0.0,0.0,3030.977783203125
2024-05-10 07:57:00+02:00,ETH-USD,0.0,0.0,3032.068603515625
2024-05-10 07:58:00+02:00,ETH-USD,0.0,0.0,3030.092041015625
2024-05-10 08:00:00+02:00,ETH-USD,0.0,0.0,3029.28369140625
2024-05-10 08:01:00+02:00,ETH-USD,0.0,0.0,3028.723876953125
2024-05-10 08:03:00+02:00,ETH-USD,0.0,0.0,3031.963134765625
2024-05-10 08:04:00+02:00,ETH-USD,0.0,0.0,3032.1796875
2024-05-10 08:05:00+02:00,ETH-USD,0.0,0.0,3032.62841796875
2024-05-10 08:06:00+02:00,ETH-USD,0.0,0.0,3032.231201171875
2024-05-10 08:07:00+02:00,ETH-USD,0.0,0.0,3033.057373046875
2024-05-10 08:08:00+02:00,ETH-USD,0.0,0.0,3032.792724609375
2024-05-10 08:09:00+02:00,ETH-USD,0.0,0.0,3034.073486328125
2024-05-10 08:10:00+02:00,ETH-USD,0.0,0.0,3034.373779296875
2024-05-10 08:11:00+02:00,ETH-USD,0.0,0.0,3036.197265625
2024-05-10 08:12:00+02:00,ETH-USD,0.0,0.0,3037.1845703125
2024-05-10 08:13:00+02:00,ETH-USD,0.0,0.0,3037.302734375
2024-05-10 08:14:00+02:00,ETH-USD,0.0,0.0,3037.38134765625
2024-05-10 08:15:00+02:00,ETH-USD,0.0,0.0,3038.329833984375
2024-05-10 08:16:00+02:00,ETH-USD,0.0,0.0,3036.109130859375
2024-05-10 08:17:00+02:00,ETH-USD,0.0,0.0,3037.962158203125
2024-05-10 08:18:00+02:00,ETH-USD,0.0,0.0,3037.777587890625
2024-05-10 08:19:00+02:00,ETH-USD,0.0,0.0,3037.752197265625
2024-05-10 08:20:00+02:00,ETH-USD,0.0,0.0,3036.85205078125
